,"(-100.2738805, 25.6431545)","(-100.2972559, 25.6212056)","(-100.2135627, 25.6873528)","(-100.2677014, 25.7972103)","(-100.2663074, 25.7825992)","(-100.0867751, 25.6721379)","(-100.3527544, 25.6481318)","(-100.1455167, 25.6070796)","(-100.243558, 25.6848754)","(-100.1538596, 25.7041968)","(-100.2329623, 25.6544994)","(-100.2914885, 25.6250818)","(-100.3109639, 25.7798596)","(-100.2840174, 25.6593413)","(-100.1470955, 25.7621307)","(-100.3336607, 25.7218566)","(-100.2367337, 25.6809683)","(-100.2481743, 25.7687448)","(-100.1323843, 25.7587975)","(-100.3526279, 25.6593898)","(-100.2257528, 25.710128)","(-100.3071791, 25.7921829)","(-100.225344, 25.7026355)","(-100.3624412, 25.6718201)","(-100.2295433, 25.7919045)","(-100.2177706, 25.7439285)","(-100.1869256, 25.6700507)","(-100.2817756, 25.7795061)","(-100.2665035, 25.5934053)","(-100.2293899, 25.7100776)","(-100.1032789, 25.6670487)","(-100.4075137, 25.6576189)","(-100.290049, 25.7037607)","(-100.0805375, 25.6545123)","(-100.2900965, 25.6543542)","(-100.2524947, 25.7599683)","(-100.4190115, 25.7476986)","(-100.2460245, 25.8232824)","(-100.3631344, 25.6762682)","(-100.3571731, 25.7297131)","(-100.3968376, 25.7262812)","(-100.3230916, 25.7968442)","(-100.3248253, 25.6457191)","(-100.3458251, 25.6663347)","(-100.3024736, 25.7584173)","(-100.088156, 25.6755832)","(-100.3352524, 25.7767223)","(-100.1913872, 25.7447943)","(-100.2929768, 25.7246023)","(-100.1459256, 25.6472258)"
"(-100.25687094, 25.71666629)",10351.786409552336,13673.116185889023,7710.9216812249715,10713.917046845636,9097.901198297048,27099.165633826688,15419.575263629562,21938.93323636871,4878.533196590843,12068.177787139115,9476.869573441214,13080.791704041225,11089.496516663226,8362.023390436003,15084.700168208758,9486.44151432586,5896.742668817928,7107.063218899494,15617.970822472687,14167.577120313383,5242.383215751285,11868.634729839623,5055.92562425254,13758.059973209158,10333.127516683633,6420.902233578101,11234.524646814318,10196.322788931384,16389.867834918015,5245.267049161898,25792.342094715925,18838.699687980286,4090.6497639978265,24710.894570732897,9329.613060576929,6070.368546409336,20872.474276921315,17680.882021574384,12948.7897072509,12109.878255938565,15987.295178537432,13051.304847436111,13443.388859538985,12914.026674882642,7686.631897200026,27512.414389322676,12242.929728093197,8447.547446453766,4987.080453792006,16978.52097892041
"(-100.32608427, 25.65866446)",6195.73812192374,6223.754441091467,12796.471097152527,18408.334476309952,16772.403517287355,29726.249706874176,4919.558552719613,23447.21704427486,9837.902983554168,19857.892831628065,10985.153381347367,6109.350030823502,14585.915692463617,4764.170089287082,25204.86723160497,7860.401229546632,10132.703187333957,16257.951220957191,25696.15943265081,3667.560409403433,13242.133061791164,15664.455390187712,12138.574386016784,4376.171329000004,19898.078008969223,16629.350719516533,15469.79880217042,16129.462508943368,11028.969558843273,12996.629955708677,28419.42616776341,9967.478163500782,7482.513096670498,27337.97864378038,4020.1218773153,15221.256548467034,16875.106690669763,27165.16014729214,4963.278807638349,9964.887138085589,11741.295425769576,16160.841426279505,5171.726326253002,2374.355747459454,12115.887915960404,30139.49846237016,15323.900958452568,18525.73605663189,9298.094358989674,19533.224857583995
"(-100.1571429, 25.71045742)",17690.35543198902,21454.39419719803,8296.188021842168,16907.575011086366,15307.491015177395,27573.58276103067,24008.40824032848,22888.87383120906,10712.218785348565,1310.9638456062912,13175.27862254522,20536.219846398486,19773.506609159886,16418.461890671144,9790.523207460219,20088.910794387524,10808.106636043452,12731.732344144139,10045.604962998363,22756.410097012304,8061.075692036925,19634.0981638871,7707.132792789107,23160.714934569376,15218.295657624312,8080.320937272595,11708.941774018302,16813.20012457089,22832.269696950014,8541.405928155753,26266.759221919907,28735.07393805205,14443.145663159738,25185.31169793688,17426.41666669319,12168.43439648489,31224.970176083225,20439.31380281327,22845.163957322664,22712.34753600023,26339.79107769934,21700.899830073817,21696.68695657125,21463.205435068325,17544.826505228346,27986.831516526658,21966.45658233406,6254.392678190215,15589.549733853672,17452.93810612439
"(-100.31081762, 25.80222659)",20119.22261430793,22298.752428328065,19112.538030380365,7755.892494766607,6565.476932304958,38508.365400414434,19834.28752072858,33340.5495855241,16280.149545746235,22122.399736561372,20878.485922596607,22184.3480180601,2738.657423312474,18016.687845595494,22149.3902812742,10632.27531901309,17298.359017973322,9342.365722178258,23211.836043731513,18582.2893774124,17045.407045169788,1398.176597578048,16607.934530307106,18172.772230308175,10574.117222232453,13269.802494496862,22643.724413402066,4891.198923689471,26157.30403967361,16797.275955216464,37201.54186130367,23253.411945079304,13062.939411400419,36120.09433732064,18752.74357047319,8971.79971328736,15803.96319113053,14529.517740433394,17363.501964349918,12684.703699782738,17339.134675660815,1765.9923527468904,21273.45545249103,17733.646805472312,5640.72051547853,38921.61415591042,5039.774744443153,15919.173507374766,9917.383234940848,28387.720745508155
"(-100.35080085, 25.74726816)",15674.889178669251,17412.791621482855,17516.53045429044,14143.684043256391,12507.753084233795,36912.357824324514,11880.610597521521,31265.069551370165,14684.141969656313,22731.24539982846,18803.00588844267,17298.38721121489,9258.725281273037,13572.354409956812,24456.196986469855,3953.3425089584775,15702.351441883398,12589.256739104043,25518.642748927163,10628.612454205342,15764.730062267505,10684.68526454679,15011.926954217182,10219.095307101117,15884.27075328155,15444.783250652421,21047.716837312142,11149.692383302447,21487.986703243696,15201.268379126539,35605.53428521375,14639.662081279632,9604.498715430644,34524.08676123072,14053.674846168373,11552.562066613884,9590.114723102864,22533.208541736614,9347.867182280295,3003.816225899334,6243.324192457999,10833.651015088924,13709.606526386206,10341.458024211992,7136.117790319482,37325.606579820495,9996.71054726199,18225.980212570415,7261.437570225974,26791.71316941823
"(-100.41658203, 25.79626289)",26627.486159695964,28365.388602509567,28367.202595849067,19247.963575961814,18057.548013500164,47763.029965883135,23039.229768025914,42217.66653239688,25534.81411121494,33403.949798998474,29755.602869469385,28250.9841922416,12989.640332941975,24524.951390983526,33430.9403437113,15156.0744584367,26553.023583442024,20623.915784615358,34493.38610616861,21787.231624709733,26615.402203826132,12890.247678773254,25862.599095775808,21377.71447760551,22066.188303427658,24551.35255693396,31898.388978870767,16383.270004884676,32440.58368427041,26051.940520685166,46456.20642677237,25373.139017305708,20554.063469184875,45374.75890278934,25006.271827195087,20253.34977572446,12697.230686374405,26238.81469965354,20273.53931626541,13642.820626061979,14643.47447762956,11385.360604244048,24868.225696890597,21500.077194716385,16003.723919466447,48176.27872137912,11775.326960814222,27200.723569811864,18112.1097117846,37642.38531097686
"(-100.09024578, 25.62976083)",23478.950486485788,27242.989251694802,17176.05371197556,32657.917397558744,31041.901549010156,5955.229758821022,31604.662299342548,7026.902196714151,20048.473769775712,25301.47994479863,17692.27984150544,26324.814900895253,34068.62368599695,22949.50777507395,31770.35875799844,31218.59471105523,19021.348933207406,28962.443444117387,32025.440513536585,30352.66415602637,20503.677860717526,34847.76189917335,19829.15237116364,30768.62151865825,31449.006757597563,24752.90827199825,13941.881651888405,32443.829134702763,28620.86475144678,20977.96913356975,5647.056880497416,36425.561611395795,26259.605742823118,3542.0856517170173,24065.359533246356,27941.00358824471,41729.04707794396,38796.76126248831,30987.31817703527,33798.392948259134,36694.88372580326,36030.43201676984,28580.16598752076,29059.45949408239,30665.759066533752,6368.478514317008,35222.056897426926,25304.41028840427,27687.870382988425,8121.979061779761
"(-100.42889956, 25.68410903)",17260.98003604971,16562.684454588318,22721.933609563945,26174.938473990544,24539.007514967947,39985.55995505459,9698.37813025485,33706.52729245528,19763.365495965587,29739.665939143022,21244.463629527785,16448.280044320352,21671.1808898846,15209.388753023912,33990.92320340638,13814.760942216,20058.165699745376,24527.80797646843,34845.381511231964,9249.841630501345,23122.4224260279,22869.50326116123,22020.34749353174,7655.486750693761,27822.821990645934,24979.509467588952,25395.26131458184,23334.510379916886,21367.899572340124,22558.960742886935,38678.73641594383,4952.817872115074,15832.67184474292,37597.2888919608,15085.363791441268,23491.113303978273,18427.064725144646,34718.026538351056,6932.248516107387,12945.513635593305,13293.25346024446,23246.10662370049,12277.205450090778,9317.844532908184,19320.935786933922,40398.80871055058,22409.16615587355,27674.958135213044,17106.365875053954,29792.535105764415
"(-100.0964356, 25.66556547)",24119.588294387057,27883.62705959607,17816.69151987683,33298.55520546001,31682.539356911424,4735.550216988,32245.300107243816,9885.726749096726,20689.11157767698,25942.117752699898,18332.917649406707,26965.45270879652,34709.26149389822,23590.14558297522,32410.99656589971,31859.232518956498,19661.98674110867,29603.081252018656,32666.078321437853,30993.301963927635,21144.31566861879,35488.39970707462,20469.79017906491,31409.259326559517,32089.64456549883,25393.54607989952,14582.519459789673,33084.46694260403,29261.50255934805,21618.60694147102,1094.1639108667314,37066.19941929706,26900.243550724386,2416.556292960516,24705.997341147624,28581.641396145977,42369.68488584523,39437.39907038958,31627.95598493654,34439.0307561604,37335.52153370452,36671.0698246711,29220.803795422027,29700.097301983657,31306.39687443502,5148.798972483985,35862.69470532819,25945.048096305538,28328.50819088969,8762.616869681027
"(-100.21752195, 25.65385956)",8246.666518878694,12010.705284087708,3919.9695292965625,19556.814081301956,17940.79823275337,18107.04986325703,16372.378331735454,11438.675655053465,5824.459375591261,12200.376628541839,2459.995873898343,11092.530933288159,19947.55656609884,7717.223807466856,18669.25544174165,16130.358595966449,4797.334539022955,15861.340127860598,18924.337197279794,15120.380188419274,7402.574544460734,20726.694779275236,6728.049054906848,15536.337551051156,18347.90344134077,11651.804955741462,4741.227285924677,19342.72581844597,13388.580783839687,7876.86581731296,16800.226324146264,21193.277643788697,11676.357872433524,15718.778800163236,8833.075565639261,14839.900271987917,26607.9094441099,25695.657946231524,15755.034209428177,18710.156833170353,21474.09817920971,21909.364896871724,13347.882019913666,13827.175526475296,16544.691946635638,18520.298618753015,21100.98977752881,12203.30697214748,13566.803263090309,7914.025013966851
